Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20154;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;158815;155773;229133;;56626;;;51635;117432;65797;45546;;1966;3042;;;;;7973;7828;;;2241;;;4169;11268;7099;1388;;30;145;;;;209;;;;;;;;;;;;;;;;;;530097
20153;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;175752;162555;235400;;56834;;;58957;112820;53863;45855;;909;13197;;;;;7853;7781;;;2257;;;4139;11188;7049;1357;;28;72;;;;209;;;;;;;;;;;;;;;;;;530097
20152;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;162059;159787;216000;;59245;;;53562;102103;48541;45950;;1030;2272;;;;;8691;8619;;;2329;;;4891;10758;5867;1370;;29;72;;;;209;;;;;;;;;;;;;;;;;;530097
20151;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;164556;162380;216800;;61549;;;53668;101903;48235;46154;;1009;2176;;;;;8577;8492;;;2284;;;4674;10426;5752;1494;;40;85;;;;209;;;;;;;;;;;;;;;;;;530097
20144;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;177012;174810;231267;;62962;;;64437;114647;50210;46095;;1316;2202;;;;;10805;10720;;;2304;;;6909;11817;4908;1442;;65;85;;;;209;;;;;;;;;;;;;;;;;;530097
20143;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;170177;167880;225400;;63487;;;56680;106451;49771;46080;;1633;2297;;;;;8959;8869;;;2266;;;5107;11023;5916;1411;;85;90;;;;209;;;;;;;;;;;;;;;;;;530097
20142;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;169372;167210;227420;;62880;;;56831;111328;54497;46305;;1194;2162;;;;;8954;8870;;;2173;;;5150;10677;5527;1428;;119;84;;;;209;;;;;;;;;;;;;;;;;;530097
20141;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;165772;163608;234637;;61333;;;54888;115787;60899;46322;;1065;2164;;;;;8647;8556;;;2010;;;4901;10759;5858;1518;;127;91;;;;209;;;;;;;;;;;;;;;;;;530097
20134;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;178142;175689;252447;;59960;;;67941;136855;68914;46592;;1196;2453;;;;;8955;8875;;;1903;;;5361;12427;7066;1491;;120;80;;;;209;;;;;;;;;;;;;;;;;;530097
20133;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;166462;164341;239632;;59313;;;56859;124844;67985;46807;;1362;2121;;;;;8241;8168;;;1816;;;4741;12343;7602;1487;;124;73;;;;209;;;;;;;;;;;;;;;;;;530097
20132;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;176934;174833;258747;;59859;;;66624;133648;67024;46833;;1517;2101;;;;;8907;8833;;;1856;;;5341;12829;7488;1511;;125;74;;;;209;;;;;;;;;;;;;;;;;;530097
20131;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;192789;190760;258322;;59813;;;66776;127549;60773;47005;10000;7166;2029;;;;;9151;9087;;;1706;;;5537;12121;6584;1601;;243;64;;;;209;;;;;;;;;;;;;;;;;;530097
20124;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;211551;209503;288633;;58933;;;87876;158404;70528;48235;10000;4459;2048;;;;;9046;8969;;;1421;;;5768;12053;6285;1597;;183;77;;;;209;;;;;;;;;;;;;;;;;;530097
20123;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;189939;187867;254053;;59102;;;79604;138393;58789;47754;;1407;2072;;;;;8635;8564;;;1388;;;5525;12254;6729;1534;;117;71;;;;209;;;;;;;;;;;;;;;;;;530097
20122;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;178681;176611;242390;;59735;;;67924;126533;58609;47556;;1396;2070;;;;;8570;8498;;;1374;;;5476;12474;6998;1542;;106;72;;;;209;;;;;;;;;;;;;;;;;;530097
20121;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;193202;185906;254493;;60049;;;73954;130076;56122;46847;3;5053;7296;;;;;9068;8995;;;1400;;;5898;12289;6391;1526;;171;73;;;;209;;;;;;;;;;;;;;;;;;530097
20114;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;198958;190864;262237;;60016;;;77920;134097;56177;45444;;7484;8094;;;;;8160;8077;;;1383;;;5014;12119;7105;1559;;121;83;;;;209;;;;;;;;;;;;;;;;;;530097
20113;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;183578;176030;241400;;60561;;;70732;123775;53043;43370;;1367;7548;;;;;9007;8944;;;1379;;;5886;11528;5642;1570;;109;63;;;;209;;;;;;;;;;;;;;;;;;530097
20112;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;175236;173184;229500;;60511;;;66267;115631;49364;44748;;1658;2052;;;;;8621;8596;;;1404;;;5496;11493;5997;1586;;110;25;;;;209;;;;;;;;;;;;;;;;;;530097
20111;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;171314;169191;222503;;61351;;;59798;106053;46255;45467;;2575;2123;;;;;7983;7924;;;1420;;;4796;10189;5393;1585;;123;59;;;;209;;;;;;;;;;;;;;;;;;530097
