Quartal,IVW-Nr.,Titel-Nr.,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20153,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4746564,4742800,4755267,4742800,,,,,,,,,,3764,,,,,27009,26442,,26442,,,,,,,,,,567,,,,401,,,,,,,,,,,,,,,,,,597953
20152,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4769824,4766650,4777400,4766650,,,,,,,,,,3174,,,,,27050,26567,,26567,,,,,,,,,,483,,,,401,,,,,,,,,,,,,,,,,,597953
20151,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4767305,4763958,4771767,4763958,,,,,,,,,,3347,,,,,25842,25575,,25575,,,,,,,,,,267,,,,401,,,,,,,,,,,,,,,,,,597953
20144,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4849022,4845825,4854233,4845825,,,,,,,,,,3197,,,,,25325,25175,,25175,,,,,,,,,,150,,,,401,,,,,,,,,,,,,,,,,,597953
20143,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4791678,4788200,4799100,4788200,,,,,,,,,,3478,,,,,24875,24558,,24558,,,,,,,,,,317,,,,401,,,,,,,,,,,,,,,,,,597953
20142,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4808216,4804942,4815733,4804942,,,,,,,,,,3274,,,,,23808,23583,,23583,,,,,,,,,,225,,,,401,,,,,,,,,,,,,,,,,,597953
20141,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4787199,4783450,4790833,4783450,,,,,,,,,,3749,,,,,23308,23200,,23200,,,,,,,,,,108,,,,401,,,,,,,,,,,,,,,,,,597953
20134,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4866512,4862750,4868733,4862750,,,,,,,,,,3762,,,,,22684,22617,,22617,,,,,,,,,,67,,,,401,,,,,,,,,,,,,,,,,,597953
20133,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4805614,4801675,4813567,4801675,,,,,,,,,,3939,,,,,21992,21942,,21942,,,,,,,,,,50,,,,401,,,,,,,,,,,,,,,,,,597953
20132,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4831684,4828683,4840667,4828683,,,,,,,,,,3001,,,,,21758,21675,,21675,,,,,,,,,,83,,,,401,,,,,,,,,,,,,,,,,,597953
20131,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4813990,4810717,4819000,4810717,,,,,,,,,,3273,,,,,21066,21008,,21008,,,,,,,,,,58,,,,401,,,,,,,,,,,,,,,,,,597953
20124,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4972900,4969142,4984433,4969142,,,,,,,,,,3758,,,,,20367,20075,,20075,,,,,,,,,,292,,,,401,,,,,,,,,,,,,,,,,,597953
20123,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4925775,4922308,4932300,4922308,,,,,,,,,,3467,,,,,19309,19217,,19217,,,,,,,,,,92,,,,401,,,,,,,,,,,,,,,,,,597953
20122,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4950334,4941608,4956400,4941608,,,,,,,,,,8726,,,,,18992,18925,,18925,,,,,,,,,,67,,,,401,,,,,,,,,,,,,,,,,,597953
20121,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4930251,4926633,4934233,4926633,,,,,,,,,,3618,,,,,18116,18008,,18008,,,,,,,,,,108,,,,401,,,,,,,,,,,,,,,,,,597953
20114,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,5067207,5063567,5074933,5063567,,,,,,,,,,3640,,,,,17258,17183,,17183,,,,,,,,,,75,,,,401,,,,,,,,,,,,,,,,,,597953
