Quartal,IVW-Nr,Quellzusatz,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20034,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,175453,172848,279450,,64449,30,,103058,203998,100940,3141,,2200,2605,,,,,56547,56291,,,8343,,,47164,77844,30680,3,,781,256,,,,205,,,,,,,,,,,,,,,,,,598000
20033,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,191662,188362,280850,,66106,39,,116815,203829,87014,3233,,2208,3300,,,,,63006,62754,,,8588,2,,53369,76612,23243,3,,794,252,,,,205,,,,,,,,,,,,,,,,,,598000
20032,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,187135,184101,277726,,67067,40,,111514,199279,87765,3308,,2212,3034,,,,,55806,55527,,,8845,2,,45913,77647,31734,3,,766,279,,,,205,,,,,,,,,,,,,,,,,,598000
20031,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,205820,202348,292277,,67519,44,,129126,210322,81196,3562,,2141,3472,,,,,71440,71159,,,8883,2,,61562,80601,19039,5,,709,281,,,,205,,,,,,,,,,,,,,,,,,598000
20024,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,203153,200153,290096,,67697,47,,,212122,84802,3450,,1686,3000,,,,,74088,73785,,,8983,2,,,81227,16507,,,82,303,,,,205,,,,,,,,,,,,,,,,,,598000
20023,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,200647,197319,295982,,67741,47,,,216251,91887,3665,,1549,3328,,,,,71033,70743,,,8831,2,,,83312,21481,,,81,290,,,,205,,,,,,,,,,,,,,,,,,598000
20022,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,206028,202180,299106,,68948,46,,,214293,86574,3977,,1536,3848,,,,,67764,67462,,,8808,2,,,72452,13877,,,79,302,,,,205,,,,,,,,,,,,,,,,,,598000
20021,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,207760,203447,292782,,70335,72,,,208581,81112,4147,,1496,4313,,,,,65305,65069,,,8995,22,,,69141,13121,,,54,236,,,,205,,,,,,,,,,,,,,,,,,598000
20014,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,255787,252685,351022,,72854,51,,,213357,88585,53627,,1432,3102,,,,,64421,64132,,,9414,,,,71827,17153,,,44,289,,,,205,,,,,,,,,,,,,,,,,,598000
20013,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,254265,250616,351857,,74929,,,,215256,94705,53641,,1495,3649,,,,,63377,62960,,,9841,,,,70583,17508,,,44,417,,,,205,,,,,,,,,,,,,,,,,,598000
20012,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,255888,252309,362672,,76788,,,,224456,104115,53669,,1511,3579,,,,,66755,66333,,,9909,,,,76407,20028,,,45,422,,,,205,,,,,,,,,,,,,,,,,,598000
20011,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,272443,268708,380836,,77863,,,,240576,104945,53695,,1519,3735,,,,,60112,59687,,,9780,,,,74137,24275,,,45,425,,,,205,,,,,,,,,,,,,,,,,,598000
20004,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,279214,266946,395822,,79824,,,,249830,112970,48601,,1661,12268,,,,,64882,64454,,,10137,,,,73589,19339,,,67,428,,,,205,,,,,,,,,,,,,,,,,,598000
20003,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,274762,270815,378566,,84670,,,,242744,100355,42182,,1574,3947,,,,,64282,63851,,,10442,,,,74041,20677,,,45,431,,,,205,,,,,,,,,,,,,,,,,,598000
20002,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,286420,281478,401731,,88847,,,,259604,112459,43852,,1634,4942,,,,,68423,67881,,,10627,,,,80519,23312,,,47,542,,,,205,,,,,,,,,,,,,,,,,,598000
20001,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,303525,298956,435356,,85722,,,,300275,129301,40465,,1795,4569,,,,,80181,79648,,,10707,,,,97182,28290,,,49,533,,,,205,,,,,,,,,,,,,,,,,,598000
19994,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,311443,306368,423116,,84417,,,,295238,109049,33770,,1992,5075,,,,,93764,93211,,,10877,,,,104919,22821,,,236,553,,,,205,,,,,,,,,,,,,,,,,,598000
19993,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,313499,309066,391522,,85315,,,,261883,73832,33874,,1826,4433,,,,,87885,87109,,,11015,,,,90437,14398,,,55,776,,,,205,,,,,,,,,,,,,,,,,,598000
19992,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,299240,294325,392136,,87505,,,,278495,90761,17248,,1838,4915,,,,,91321,90517,,,11255,,,,95308,16103,,,57,804,,,,205,,,,,,,,,,,,,,,,,,598000
19991,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,301138,296924,417923,,87946,,,,305177,111819,13923,,1697,4214,,,,,97625,96856,,,11779,,,,109464,24447,,,60,769,,,,205,,,,,,,,,,,,,,,,,,598000
19984,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,304346,300137,401253,,90809,,,,288558,94929,13930,,1769,4209,,,,,103332,102531,,,12250,,,,111742,21519,,,58,801,,,,205,,,,,,,,,,,,,,,,,,598000
19983,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,306951,303080,418769,,93925,,,,300286,106928,14193,,1604,3871,,,,,103511,102735,,,12751,,,,114817,24896,,,63,776,,,,205,,,,,,,,,,,,,,,,,,598000
19982,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,333911,328973,461919,,99521,,,,336884,123259,14174,,1653,4938,,,,,117325,116557,,,13735,,,,129986,27219,,,55,768,,,,205,,,,,,,,,,,,,,,,,,598000
19981,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,362846,353710,491955,,101948,,,,357105,120899,14046,,1510,9136,,,,,131885,131056,,,14042,,,,143328,26368,,,54,829,,,,205,,,,,,,,,,,,,,,,,,598000
