Quartal,Bezeichnung,Link,KatVisits,PIs,Quelle,Nutzungsbedingungen,Zusatz
20203,Süddeutsche.de,http://www.sueddeutsche.de,78555600,190983214,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf,
20202,Süddeutsche.de,http://www.sueddeutsche.de,99143303,245823978,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf,
20201,Süddeutsche.de,http://www.sueddeutsche.de,100082181,245514355,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf,
20194,Süddeutsche.de,http://www.sueddeutsche.de,71927417,192773300,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf,
20193,Süddeutsche.de,http://www.sueddeutsche.de,72044934,196548594,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf,
20192,Süddeutsche.de,http://www.sueddeutsche.de,71230161,200488371,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf,
20191,Süddeutsche.de,http://www.sueddeutsche.de,74097275,218129148,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf,
20184,Süddeutsche.de,http://www.sueddeutsche.de,45259476,132500264,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf,es fehlt ein Monat (201810)
